,age,phq9_total_score,dsm5_q9_flag,dsm5_mdd_assessment,phq9_q0,phq9_q1,phq9_q2,phq9_q3,phq9_q4,phq9_q5,phq9_q6,phq9_q7,phq9_q8,industry_enc,profession_enc,dsm5_severity_enc,dsm5_q9_flag_enc,dsm5_mdd_assessment_enc
age,1.0,-0.042867318722494746,-0.004090384717089026,-0.012941149187888901,-0.017791548036040935,-0.021414274440716495,-0.014479493494864864,-0.08549010185435056,-0.02054617271347617,-0.021348278580189815,-0.02497943339156328,-0.006667898082507155,-0.01922057803354985,-0.027322531795089585,-0.051268118500373445,0.04625058281569638,-0.004090384717089026,-0.012941149187888901
phq9_total_score,-0.042867318722494746,1.0,0.16983136868215157,0.27471142024662065,0.578437986572687,0.609324181968244,0.6024009766237773,0.6370971406765608,0.6273162115196728,0.6405230946673747,0.5746733811354998,0.5725618390727705,0.5769438458525087,-0.02827283950244416,0.010033682106239405,0.0294687784849019,0.16983136868215157,0.27471142024662065
dsm5_q9_flag,-0.004090384717089026,0.16983136868215157,1.0,0.39202038535200356,0.09766636787751402,0.10307078586445087,0.08271506001215095,0.10996383196503315,0.08992259067963829,0.07776223618146746,0.094085148989849,0.07214074243519475,0.19419860098130315,-0.03876141209564802,-0.019365587799509615,0.15696281216207658,1.0,0.39202038535200356
dsm5_mdd_assessment,-0.012941149187888901,0.27471142024662065,0.39202038535200356,1.0,0.16510303640096693,0.1950979970073357,0.16960021989455337,0.1651486770760463,0.15982747056138316,0.1733575542328294,0.16093208939211953,0.14306208414220095,0.15607335676440418,-0.042473994247100647,0.01740658423721548,0.46881144693869053,0.39202038535200356,1.0
phq9_q0,-0.017791548036040935,0.578437986572687,0.09766636787751402,0.16510303640096693,1.0,0.3034161914437064,0.2380706824302462,0.27960279446847824,0.2728516742931227,0.29331505819444703,0.21823486925077534,0.2755283403595132,0.24793550591622954,-0.04824652658898115,-0.040349749990852196,0.01915845804374853,0.09766636787751407,0.16510303640096693
phq9_q1,-0.021414274440716495,0.609324181968244,0.10307078586445087,0.1950979970073357,0.3034161914437064,1.0,0.2818889771147859,0.3320628412437597,0.32243966908721106,0.3037664462686298,0.2637717731796295,0.20703919609454785,0.2679526735469628,-0.01586363446365226,0.0048109372998716236,0.04227798455405828,0.1030707858644509,0.19509799700733568
phq9_q2,-0.014479493494864864,0.6024009766237773,0.08271506001215095,0.16960021989455337,0.2380706824302462,0.2818889771147859,1.0,0.2890423290375119,0.2938914574298543,0.2990016427796052,0.28782483618260524,0.3091205469124256,0.2777819076583033,0.005865658201976286,-0.025845785843340654,0.0037034177329469753,0.0827150600121509,0.16960021989455337
phq9_q3,-0.08549010185435056,0.6370971406765608,0.10996383196503315,0.1651486770760463,0.27960279446847824,0.3320628412437597,0.2890423290375119,1.0,0.296217786694107,0.35439669080931163,0.34059703908626165,0.2533321198893542,0.30448303188166426,-0.02686237635768352,0.014162778942971082,0.010554866208142503,0.10996383196503312,0.1651486770760463
phq9_q4,-0.02054617271347617,0.6273162115196728,0.08992259067963829,0.15982747056138316,0.2728516742931227,0.32243966908721106,0.2938914574298543,0.296217786694107,1.0,0.39711444853232103,0.28218975061036716,0.259397783771223,0.26371579270106044,-0.01340499631423004,0.026263578108939707,0.012626913247559648,0.0899225906796383,0.1598274705613832
phq9_q5,-0.021348278580189815,0.6405230946673747,0.07776223618146746,0.1733575542328294,0.29331505819444703,0.3037664462686298,0.2990016427796052,0.35439669080931163,0.39711444853232103,1.0,0.2502939696491876,0.3206850575922682,0.23624656348538317,-0.024489497423782165,0.040201167088856175,0.010203527507849792,0.07776223618146744,0.17335755423282942
