word,frequency
PHQ score,1.0
score indicates,1.0
low mood,0.8034663609803603
depression Patient,0.43910282421684793
fatigue,0.4350653303035222
indicates Moderate,0.4350653303035222
Moderate depression,0.4350653303035222
depression Ongoing,0.4350653303035222
Ongoing low,0.4350653303035222
mood poor,0.4350653303035222
poor sleep,0.4350653303035222
reported causing,0.4350653303035222
causing difficulties,0.4350653303035222
maintaining concentration,0.4350653303035222
motivation PHQ,0.4350602580749878
tiredness,0.361086877130336
indicates Mild,0.361086877130336
Mild depression,0.361086877130336
Patient describes,0.361086877130336
overall functioning,0.361086877130336
functioning remains,0.361086877130336
remains relatively,0.361086877130336
relatively preserved,0.361086877130336
preserved PHQ,0.361086877130336
severe depression,0.12583184547962992
pronounced,0.11851769193312774
indicates Moderately,0.11851769193312774
Moderately severe,0.11851769193312774
depression Symptoms,0.11851769193312774
marked psychological,0.11851769193312774
psychological distress,0.11851769193312774
considerable impact,0.11851769193312774
routine activities,0.11851769193312774
activities PHQ,0.11851769193312774
stable showing,0.07801594708651192
showing emotional,0.07801594708651192
emotional wellbeing,0.07801594708651192
clinically significant,0.07801594708651192
significant depressive,0.07801594708651192
depressive symptoms,0.07801594708651192
symptoms PHQ,0.07801594708651192
interest,0.007314153546502191
patient presents,0.007314153546502191
pervasive low,0.007314153546502191
mood loss,0.007314153546502191
significant impairment,0.007314153546502191
daily functioning,0.007314153546502191
functioning PHQ,0.007314153546502191
motivation,5.072228534328843e-06
